ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,target,target_name
-13072,-584,9964,-253,544,211,-12988,-732,10032,-402,659,-52,0,Wrong
-12196,2156,10456,570,695,1487,-12096,2152,10020,380,926,1216,0,Wrong
-13348,-3080,8512,-1145,1421,-2140,-12996,-3056,8452,-1581,1479,-2032,0,Wrong
-12988,1204,9988,-228,109,512,-12744,1136,9580,-313,176,300,0,Wrong
-12824,1056,9352,-463,310,-218,-12872,1268,9496,-471,330,-234,0,Wrong
-13088,1980,9792,-41,96,150,-13172,1860,9980,135,-51,224,0,Wrong
-12992,2088,9660,114,264,275,-12936,2052,9664,143,263,366,0,Wrong
-12984,2204,9444,-366,-113,-695,-12888,2224,9424,-362,-129,-721,0,Wrong
-13164,2712,9372,-428,-46,428,-12976,2620,9476,-436,-52,414,0,Wrong
-13112,2608,9320,56,298,534,-13024,2652,9376,57,285,452,0,Wrong
-13188,3840,8856,-787,277,452,-13248,3768,8812,-795,272,395,0,Wrong
-13060,3916,8772,448,404,795,-12996,3932,8700,444,407,782,0,Wrong
-12840,3484,9088,-786,-244,-179,-12988,3708,9256,-818,-373,-239,0,Wrong
-12772,3748,9284,-287,646,641,-12920,3800,9268,-275,580,648,0,Wrong
-12928,3824,9316,-622,-33,-184,-12968,3776,9312,-619,15,-205,0,Wrong
-12976,2952,9332,-526,240,226,-13000,2880,9352,-519,265,166,0,Wrong
-13132,3092,9644,-189,528,339,-13196,3148,9472,-147,528,416,0,Wrong
-12732,3100,9392,-289,525,217,-12688,3020,9588,-263,521,161,0,Wrong
-12824,3364,9472,-328,581,297,-12820,3324,9376,-260,543,163,0,Wrong
-12768,3384,9036,-893,717,119,-12908,3236,9132,-911,702,137,0,Wrong
-12764,3252,8620,-125,566,347,-12708,3304,8924,-130,553,252,0,Wrong
-13300,3528,8504,-204,155,565,-13260,3600,8476,-180,149,589,0,Wrong
-12968,3304,9252,-142,-30,597,-13020,3272,9164,-177,-60,564,0,Wrong
-12956,3768,9012,-661,508,167,-12892,3784,8972,-698,534,191,0,Wrong
-13220,3780,8488,-104,315,472,-13280,3824,8336,-87,335,526,0,Wrong
-12896,5036,8408,-336,-209,566,-12868,4960,8496,-293,-143,551,0,Wrong
-12768,3996,8792,-89,114,497,-12836,4096,8732,-65,95,496,0,Wrong
-12152,4432,10052,290,330,89,-12016,4380,10168,276,375,77,1,Correct
-11684,2908,10396,-1924,-432,-197,-11860,2868,10508,-1940,-398,-137,1,Correct
-11792,4220,11376,-517,-976,596,-11580,4124,11444,-431,-906,634,1,Correct
-12236,4016,9968,203,36,908,-12252,4024,9732,223,51,932,1,Correct
-12740,3168,9632,511,80,1042,-12692,3232,9764,539,84,1136,1,Correct
-12296,2452,10344,-291,168,488,-12232,2596,10420,-283,177,545,1,Correct
-10848,4136,11660,-887,-1199,1869,-10764,4180,11464,-1005,-1134,1849,1,Correct
-11312,3956,11484,-2765,-528,-97,-11048,3560,11512,-2580,-588,134,1,Correct
-12004,4684,10936,-2246,-149,1386,-12236,4728,11024,-2264,-176,1282,1,Correct
-12536,4160,10136,-676,465,-531,-12468,4164,10072,-644,425,-563,1,Correct
-12532,3980,10272,-297,524,-261,-12484,3880,10288,-299,542,-317,1,Correct
-12076,3720,10664,1092,572,-383,-12072,3648,10680,1161,555,-353,1,Correct
-12172,3488,11328,165,1430,-958,-12140,3504,11540,237,1371,-891,1,Correct
-11600,5412,11800,-578,2035,-624,-11708,5248,11888,-650,2084,-602,1,Correct
-10512,5100,11472,1504,1736,659,-10416,5076,11700,1424,1744,636,1,Correct
-10968,4456,13168,-546,2520,-112,-10876,4380,13044,-552,2525,-129,1,Correct
-10916,3656,12580,-513,1644,-1196,-11100,3696,12416,-522,1617,-1243,1,Correct
-9628,3520,12288,-252,2442,-564,-9768,3224,12760,-273,2420,-441,1,Correct
-9664,2556,13372,-63,1631,-989,-9588,2684,13360,6,1599,-883,1,Correct
-10524,1916,13420,-93,-818,627,-10564,1944,13320,-114,-874,627,1,Correct
-11080,4380,12024,-1485,-361,881,-11092,4372,11932,-1451,-359,824,1,Correct
-12052,3072,10868,-723,58,-29,-12088,3200,10660,-660,75,13,1,Correct
-12188,3532,10768,440,717,370,-12064,3692,11000,631,680,348,1,Correct
-11700,3720,12020,570,1536,-328,-11596,3736,12388,590,1435,-395,1,Correct
-10616,1836,12980,199,1332,193,-10712,1816,12908,214,1309,179,1,Correct
-10496,2380,12532,-197,2380,-1119,-10420,2480,12572,-232,2407,-1104,1,Correct
-12124,2924,11876,1367,661,-41,-11820,3020,12244,1485,587,-13,1,Correct
-11240,3232,13476,-1789,2270,-43,-11124,3132,13404,-1723,2297,-219,1,Correct
-9704,740,12260,398,1966,125,-9660,1156,12268,354,1984,-1,1,Correct
-8856,3768,14300,-525,539,-9,-8756,3648,14344,-498,559,2,1,Correct
-10944,1568,13716,-290,-1112,1584,-10560,1328,13868,-130,-1308,1884,1,Correct
-10660,1904,13276,-957,-562,12,-10840,1848,13320,-941,-593,26,1,Correct
-10540,1840,12632,86,-1877,1059,-10584,1956,12524,101,-1836,1047,1,Correct
-11016,2276,12636,-689,-1316,490,-11080,2248,12584,-727,-1298,515,1,Correct
-12260,2192,11628,213,178,1171,-12352,2208,11684,199,196,1152,1,Correct
-12440,3304,10652,-487,479,69,-12344,3320,10576,-475,482,78,1,Correct
-12028,3616,10020,264,650,-344,-12184,3332,10068,323,590,-330,1,Correct
-12272,3544,10596,-1016,475,-401,-12152,3608,10500,-990,426,-331,1,Correct
-12136,3860,10680,-420,456,-318,-12244,3804,10620,-449,461,-391,1,Correct
-12344,3092,10272,-35,-71,808,-12488,3040,10296,-30,-127,810,1,Correct
-7628,4540,13640,1277,-1301,1319,-8168,4616,14360,1279,-1407,1380,1,Correct
-11988,3480,11332,-409,-74,377,-12080,3340,11104,-444,-60,321,1,Correct
-11348,3612,12620,-2123,-1492,813,-11344,3584,12720,-1934,-1719,958,1,Correct
-11456,4560,10848,-154,555,75,-11456,4648,10724,-165,582,93,1,Correct
-10544,4636,12024,-1602,-676,478,-10688,4788,11920,-1862,-608,428,1,Correct
-9256,4616,13320,-364,-2066,1263,-9244,4840,13380,-362,-2010,1275,1,Correct
-7624,5460,14248,-1153,641,-264,-7644,5392,14104,-1159,597,-177,1,Correct
