ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,target,target_name
-13072,-584,9964,-253,544,211,-12988,-732,10032,-402,659,-52,0,Wrong
-12196,2156,10456,570,695,1487,-12096,2152,10020,380,926,1216,0,Wrong
-13348,-3080,8512,-1145,1421,-2140,-12996,-3056,8452,-1581,1479,-2032,0,Wrong
-12988,1204,9988,-228,109,512,-12744,1136,9580,-313,176,300,0,Wrong
-12824,1056,9352,-463,310,-218,-12872,1268,9496,-471,330,-234,0,Wrong
-13088,1980,9792,-41,96,150,-13172,1860,9980,135,-51,224,0,Wrong
-12992,2088,9660,114,264,275,-12936,2052,9664,143,263,366,0,Wrong
-12984,2204,9444,-366,-113,-695,-12888,2224,9424,-362,-129,-721,0,Wrong
-13164,2712,9372,-428,-46,428,-12976,2620,9476,-436,-52,414,0,Wrong
-13112,2608,9320,56,298,534,-13024,2652,9376,57,285,452,0,Wrong
-13188,3840,8856,-787,277,452,-13248,3768,8812,-795,272,395,0,Wrong
-13060,3916,8772,448,404,795,-12996,3932,8700,444,407,782,0,Wrong
-12840,3484,9088,-786,-244,-179,-12988,3708,9256,-818,-373,-239,0,Wrong
-12772,3748,9284,-287,646,641,-12920,3800,9268,-275,580,648,0,Wrong
-12928,3824,9316,-622,-33,-184,-12968,3776,9312,-619,15,-205,0,Wrong
-12976,2952,9332,-526,240,226,-13000,2880,9352,-519,265,166,0,Wrong
-13132,3092,9644,-189,528,339,-13196,3148,9472,-147,528,416,0,Wrong
-12732,3100,9392,-289,525,217,-12688,3020,9588,-263,521,161,0,Wrong
-12824,3364,9472,-328,581,297,-12820,3324,9376,-260,543,163,0,Wrong
-12768,3384,9036,-893,717,119,-12908,3236,9132,-911,702,137,0,Wrong
-12764,3252,8620,-125,566,347,-12708,3304,8924,-130,553,252,0,Wrong
-13300,3528,8504,-204,155,565,-13260,3600,8476,-180,149,589,0,Wrong
-12968,3304,9252,-142,-30,597,-13020,3272,9164,-177,-60,564,0,Wrong
-12956,3768,9012,-661,508,167,-12892,3784,8972,-698,534,191,0,Wrong
-13220,3780,8488,-104,315,472,-13280,3824,8336,-87,335,526,0,Wrong
-12896,5036,8408,-336,-209,566,-12868,4960,8496,-293,-143,551,0,Wrong
-12768,3996,8792,-89,114,497,-12836,4096,8732,-65,95,496,0,Wrong
-2008,7988,15540,-125,393,230,-1904,7920,15488,-134,373,212,1,Bare
-2208,7840,15352,-290,298,191,-2124,7924,15284,-292,348,178,1,Bare
-2300,7748,15384,-149,200,257,-2372,7820,15384,-152,204,260,1,Bare
-2492,7884,15396,-249,237,320,-2476,7868,15268,-253,257,319,1,Bare
-2464,7684,15484,-140,275,249,-2440,7716,15288,-146,279,275,1,Bare
-2580,7820,15228,-79,370,192,-2512,7884,15396,-83,319,150,1,Bare
-2580,7280,15380,-346,244,364,-2544,7412,15376,-321,214,393,1,Bare
-2600,7772,15472,-166,350,205,-2500,7772,15448,-201,350,225,1,Bare
-2604,7932,15372,-229,203,195,-2504,8068,15380,-254,156,193,1,Bare
-2404,7728,15372,-325,279,271,-2424,7900,15300,-331,246,266,1,Bare
-2612,7968,15116,-308,301,278,-2652,7972,15152,-329,302,249,1,Bare
-2504,7872,15296,-247,465,203,-2464,7824,15288,-236,415,208,1,Bare
-2552,7916,15060,-380,272,222,-2604,7872,15032,-362,285,221,1,Bare
-2588,7720,15200,-146,278,276,-2592,7700,15260,-135,295,302,1,Bare
-2608,7876,15228,-194,182,306,-2728,7920,15264,-169,153,276,1,Bare
-2532,7860,15252,-322,167,151,-2644,7900,15404,-295,145,127,1,Bare
-2804,7340,15436,-330,308,291,-2632,7404,15500,-343,288,283,1,Bare
-2572,7432,15680,-386,219,46,-2564,7520,15788,-387,228,67,1,Bare
-2784,6956,15144,136,269,452,-2608,7008,14920,129,259,460,1,Bare
-2732,7252,15420,-264,541,105,-2716,7404,15368,-249,554,117,1,Bare
-2268,7328,15712,-6,347,186,-2360,7464,15708,-31,369,162,1,Bare
-1912,7280,15580,207,502,196,-1896,7300,15520,215,506,201,1,Bare
-2836,7832,15336,-204,283,462,-2864,7740,15392,-201,318,448,1,Bare
-4532,8108,14656,-155,269,289,-4556,8164,14568,-149,253,311,1,Bare
-4752,7748,14496,-270,403,199,-4752,7712,14424,-225,398,187,1,Bare
-4836,8080,14100,-116,509,180,-4860,8068,14184,-84,484,202,1,Bare
-5044,8944,13500,-165,463,337,-5028,8900,13384,-164,409,344,1,Bare
-5332,8884,13472,-108,364,244,-5316,8800,13532,-100,395,290,1,Bare
-4856,9328,13424,-246,579,310,-4792,9304,13408,-231,584,290,1,Bare
-4856,9224,13496,-183,255,216,-4920,9232,13448,-199,250,204,1,Bare
-5064,8364,13932,-289,298,447,-5048,8396,13772,-298,314,407,1,Bare
-5068,9216,13524,136,264,347,-4992,9256,13512,82,261,330,1,Bare
-5008,9568,12540,-43,350,529,-4964,9476,12600,-65,330,529,1,Bare
-5860,10348,11844,-73,379,293,-5952,10384,12012,-51,377,296,1,Bare
-6496,11108,10228,-247,383,168,-6532,11140,10364,-252,355,152,1,Bare
-8428,11216,8576,-220,953,-99,-8356,11084,8444,-201,991,-116,1,Bare
-9760,-928,-10840,-250,745,86,-9744,-924,-10888,-237,754,111,1,Bare
-7240,-4968,-12132,83,602,-375,-7304,-5072,-12188,98,624,-374,1,Bare
-6128,-6360,-12092,-330,-158,-322,-5992,-6404,-12196,-324,-198,-373,1,Bare
-7268,-10404,-6272,1997,-9096,3355,-7284,-10280,-6296,1783,-8418,3104,1,Bare
-3224,9096,14796,890,-965,775,-3188,9236,14704,782,-1038,790,1,Bare
-2964,8692,14436,-239,415,144,-2896,8672,14624,-239,385,131,1,Bare
-1836,8948,14760,-95,456,400,-1936,9092,14768,-120,421,390,1,Bare
-2204,9092,14808,-452,514,230,-2284,9192,14760,-483,501,239,1,Bare
-3224,8980,14564,-177,438,242,-3216,8840,14492,-211,401,258,1,Bare
-2624,7960,15108,-732,433,436,-2596,7948,15336,-756,479,451,1,Bare
-3164,7932,15088,-259,143,371,-3180,7840,15140,-264,169,385,1,Bare
-3636,8188,14932,-204,139,332,-3708,8140,14716,-213,110,340,1,Bare
-3548,8124,14812,-284,85,320,-3528,8140,14928,-296,57,342,1,Bare
-3904,7840,14840,-328,206,308,-3952,7828,14768,-331,197,307,1,Bare
-3856,7896,14772,-703,-796,564,-3928,7928,15132,-645,-607,452,1,Bare
-3528,7816,15068,-154,319,314,-3492,7784,14988,-161,322,325,1,Bare
-3520,7884,14972,-283,366,268,-3560,7872,14944,-289,356,313,1,Bare
-3500,7992,14772,-529,539,252,-3552,7892,14680,-519,569,265,1,Bare
-3736,7676,14796,-146,621,249,-3792,7704,14712,-141,606,254,1,Bare
-3744,7784,14944,-246,610,267,-3644,7812,14952,-239,625,276,1,Bare
-3772,7896,14864,-188,234,283,-3664,7856,14860,-194,241,292,1,Bare
-4064,8036,14624,-320,366,211,-4060,7968,14536,-323,288,207,1,Bare
-3844,8160,14624,-217,617,270,-3928,8256,14536,-216,615,270,1,Bare
-3960,8092,14616,-162,311,261,-3952,8188,14768,-136,337,266,1,Bare
-4388,8132,14152,-125,477,249,-4368,8064,14324,-141,479,246,1,Bare
-4416,8224,14168,-195,671,211,-4704,8220,14132,-191,673,221,1,Bare
5740,14736,4964,410,2749,272,5592,14880,4864,355,2749,315,2,Poor
4760,14372,4892,3357,1391,1723,4764,14460,4992,3449,1208,1778,2,Poor
